"v1013","mes_nome","moradia","nivel_protecao_domiciliar","n_amostra","populacao_estimada","pct_pegou_emprestimo","pct_recebeu_seguro_desemprego","pct_internado_entre_atendidos","media_itens_protecao"
"9","Setembro","Proprio ainda pagando","Protecao intermediaria","460","319896.0","97.455","2.2048","0.0","2.8788"
"11","Novembro","Outra condicao","Protecao intermediaria","113","55781.0","100.0","0.0","0.0","2.6274"
"9","Setembro","Proprio ainda pagando","Alta protecao","22009","1.6212735E7","84.7242","4.0487","4.2353","4.4733"
"9","Setembro","Cedido de outra forma","Protecao intermediaria","400","189440.0","85.2955","4.4952","0.0","2.8246"
"11","Novembro","Outra condicao","Alta protecao","1162","726997.0","92.5539","3.9046","0.0","4.3595"
"9","Setembro","Cedido por empregador","Alta protecao","8126","2682779.0","79.8754","2.0641","5.3374","4.3688"
"9","Setembro","Cedido por empregador","Protecao intermediaria","500","150616.0","94.0729","3.0808","0.0","2.933"
"9","Setembro","Alugado","Baixa protecao","78","55455.0","46.4961","1.6438",,"1.0"
"11","Novembro","Cedido de outra forma","Alta protecao","3594","1753125.0","86.9251","0.5886","2.177","4.3125"
"11","Novembro","Outra condicao","Nenhum item","12","7654.0","100.0","0.0",,"0.0"
"9","Setembro","Cedido de outra forma","Nenhum item","11","3375.0","100.0","0.0",,"0.0"
"9","Setembro","Cedido por familiar","Nenhum item","49","33522.0","100.0","0.0",,"0.0"
"9","Setembro","Proprio ja pago","Alta protecao","252089","1.30302836E8","85.5634","2.1368","10.519","4.4235"
"11","Novembro","Alugado","Alta protecao","50903","3.2807946E7","84.6789","1.9504","7.2391","4.4126"
"11","Novembro","Cedido por familiar","Alta protecao","30200","1.8157326E7","86.9285","1.6237","10.2006","4.3579"
"11","Novembro","Cedido por empregador","Alta protecao","7835","2648089.0","81.5472","1.7892","10.4786","4.3645"
"11","Novembro","Cedido por empregador","Baixa protecao","18","2895.0",,"0.0",,"1.0"
"9","Setembro","Cedido por familiar","Baixa protecao","63","48910.0","76.3618","0.0",,"1.0"
"9","Setembro","Cedido por familiar","Alta protecao","30738","1.8053227E7","83.3388","2.3748","8.0744","4.3771"
"11","Novembro","Proprio ja pago","Alta protecao","249716","1.31342858E8","88.3401","1.5025","9.0059","4.4082"
"9","Setembro","Proprio ja pago","Baixa protecao","338","147283.0","86.4123","0.7772","8.5075","1.0"
"11","Novembro","Cedido por familiar","Protecao intermediaria","1752","948992.0","75.4785","0.915","5.9839","2.8655"
"9","Setembro","Alugado","Alta protecao","51959","3.2995431E7","83.1072","2.6738","6.7092","4.4344"
"11","Novembro","Proprio ainda pagando","Alta protecao","21593","1.621089E7","86.045","2.3474","6.7395","4.4616"
"11","Novembro","Alugado","Protecao intermediaria","2088","1185004.0","80.1707","3.3532","3.7714","2.8853"
"9","Setembro","Proprio ainda pagando","Nenhum item","16","7626.0","100.0","0.0",,"0.0"
"11","Novembro","Cedido de outra forma","Protecao intermediaria","394","164352.0","91.6992","1.233",,"2.8754"
"9","Setembro","Outra condicao","Alta protecao","1165","649580.0","86.9986","1.9518","7.9168","4.3546"
"9","Setembro","Cedido de outra forma","Alta protecao","3800","1794772.0","75.2913","1.0032","2.3661","4.339"
"9","Setembro","Proprio ja pago","Nenhum item","215","100416.0","40.109","0.1612","0.0","0.0"
"11","Novembro","Proprio ja pago","Baixa protecao","278","137400.0","100.0","0.9097","15.2907","1.0"
"11","Novembro","Proprio ja pago","Nenhum item","257","130925.0","100.0","1.2266",,"0.0"
"11","Novembro","Alugado","Baixa protecao","68","39601.0","47.2335","0.7221",,"1.0"
"9","Setembro","Cedido por familiar","Protecao intermediaria","1951","1118816.0","85.3815","1.2784","13.137","2.861"
"9","Setembro","Alugado","Protecao intermediaria","2447","1477654.0","61.9556","5.0063","10.5983","2.8798"
"11","Novembro","Proprio ainda pagando","Protecao intermediaria","409","278742.0","93.9729","1.2044","0.0","2.8371"
"11","Novembro","Cedido por empregador","Protecao intermediaria","452","125403.0","88.6364","1.0007","0.0","2.8819"
"9","Setembro","Outra condicao","Protecao intermediaria","116","62319.0","88.9096","0.0",,"2.7714"
"11","Novembro","Proprio ja pago","Protecao intermediaria","10406","4795276.0","86.3315","0.6388","17.4229","2.8846"
"9","Setembro","Proprio ja pago","Protecao intermediaria","10687","4936189.0","81.6978","1.2383","13.1532","2.8808"
"11","Novembro","Alugado","Nenhum item","31","18510.0",,"4.7063",,"0.0"
"11","Novembro","Cedido por familiar","Baixa protecao","52","55526.0","57.8014","0.0",,"1.0"
"11","Novembro","Cedido por empregador","Nenhum item","12","5243.0",,"0.0",,"0.0"
"10","Outubro","Outra condicao","Alta protecao","1143","657162.0","88.9183","4.0984","0.0","4.384"
"10","Outubro","Cedido por familiar","Protecao intermediaria","1817","982639.0","75.652","1.0072","21.6108","2.8338"
"10","Outubro","Cedido por familiar","Alta protecao","30040","1.8054147E7","84.4689","2.1626","9.8742","4.3617"
"10","Outubro","Cedido por familiar","Nenhum item","67","37538.0","80.5802","9.779",,"0.0"
"10","Outubro","Proprio ja pago","Alta protecao","248301","1.30600714E8","87.0712","1.7961","10.7227","4.4152"
"10","Outubro","Cedido por empregador","Protecao intermediaria","473","145872.0","95.7661","0.0","0.0","2.8614"
"10","Outubro","Cedido de outra forma","Nenhum item","5","2319.0","100.0","0.0",,"0.0"
"10","Outubro","Proprio ainda pagando","Alta protecao","21496","1.6142331E7","87.1976","2.7768","10.6436","4.4581"
"10","Outubro","Alugado","Alta protecao","51068","3.3266723E7","83.8146","2.2519","7.3566","4.4243"
"10","Outubro","Outra condicao","Protecao intermediaria","86","43671.0","100.0","0.0",,"2.7922"
"10","Outubro","Proprio ja pago","Baixa protecao","313","159119.0","100.0","3.0672",,"1.0"
"10","Outubro","Cedido de outra forma","Protecao intermediaria","400","178103.0","87.2188","1.5124","0.0","2.8503"
"10","Outubro","Proprio ja pago","Protecao intermediaria","10401","4890337.0","83.0489","0.9038","22.3892","2.8781"
"10","Outubro","Cedido de outra forma","Alta protecao","3674","1773163.0","79.0324","0.863","27.0167","4.3398"
"10","Outubro","Proprio ainda pagando","Protecao intermediaria","474","353684.0","98.924","1.7053","0.0","2.8778"
"10","Outubro","Cedido por empregador","Baixa protecao","5","3429.0",,"0.0",,"1.0"
"10","Outubro","Alugado","Nenhum item","43","21405.0","100.0","0.0",,"0.0"
"10","Outubro","Cedido por empregador","Alta protecao","7848","2624961.0","77.1875","2.0023","2.4695","4.3506"
"10","Outubro","Proprio ainda pagando","Nenhum item","26","14398.0",,"0.0",,"0.0"
"10","Outubro","Cedido por familiar","Baixa protecao","69","28003.0","100.0","0.0",,"1.0"
"10","Outubro","Alugado","Protecao intermediaria","2354","1358024.0","73.3006","3.634","7.2076","2.8619"
"10","Outubro","Cedido por empregador","Nenhum item","14","4452.0",,"0.0","0.0","0.0"
"10","Outubro","Proprio ja pago","Nenhum item","238","103756.0","75.2933","0.0249","0.0","0.0"
"10","Outubro","Alugado","Baixa protecao","75","54301.0","16.7968","4.133",,"1.0"
"11","Novembro","Proprio ainda pagando","Baixa protecao","4","1147.0",,"0.0",,"1.0"
"9","Setembro","Outra condicao","Baixa protecao","8","6221.0",,"0.0",,"1.0"
"9","Setembro","Alugado","Nenhum item","34","23930.0",,"3.6642","0.0","0.0"
"10","Outubro","Cedido de outra forma","Baixa protecao","14","7701.0","100.0","0.0",,"1.0"
"11","Novembro","Cedido por familiar","Nenhum item","58","36780.0","78.5702","0.0",,"0.0"
"9","Setembro","Cedido de outra forma","Baixa protecao","13","4631.0","100.0","0.0",,"1.0"
"9","Setembro","Cedido por empregador","Nenhum item","9","4057.0",,"0.0",,"0.0"
"9","Setembro","Outra condicao","Nenhum item","8","6211.0","100.0","0.0",,"0.0"
"9","Setembro","Cedido por empregador","Baixa protecao","4","882.0",,"0.0",,"1.0"
"11","Novembro","Proprio ainda pagando","Nenhum item","21","11067.0",,"0.0",,"0.0"
"11","Novembro","Cedido de outra forma","Nenhum item","5","2337.0","100.0","0.0",,"0.0"
"11","Novembro","Cedido de outra forma","Baixa protecao","5","2501.0","100.0","0.0",,"1.0"
"10","Outubro","Outra condicao","Nenhum item","8","6124.0","100.0","0.0",,"0.0"
"10","Outubro","Proprio ainda pagando","Baixa protecao","9","8472.0",,"0.0",,"1.0"
"9","Setembro","Proprio ainda pagando","Baixa protecao","5","3643.0",,"0.0",,"1.0"
