"v1013","mes_nome","faixa_etaria","raca","comorbidade_codigo","comorbidade","n_amostra","qtd_respostas_sim","pop_estimada_com_comorbidade","pct_com_comorbidade"
"10","Outubro","0-17","Amarela","B0106","Cancer","381","0","0.0","0.0"
"10","Outubro","40-49","Indigena","B0106","Cancer","198","0","0.0","0.0"
"10","Outubro","60+","Branca","B0106","Cancer","33246","1566","796179.0","5.0541"
"10","Outubro","40-49",,"B0106","Cancer","14","0","0.0","0.0"
"10","Outubro","50-59","Parda","B0106","Cancer","23044","308","147824.0","1.4459"
"10","Outubro","0-17","Parda","B0106","Cancer","47618","40","24029.0","0.0915"
"10","Outubro","60+","Indigena","B0106","Cancer","212","5","3095.0","3.8566"
"10","Outubro","0-17","Indigena","B0106","Cancer","397","1","1855.0","1.2843"
"10","Outubro","50-59","Indigena","B0106","Cancer","185","2","1718.0","2.4938"
"10","Outubro","30-39","Preta","B0106","Cancer","5185","20","10828.0","0.3238"
"10","Outubro","18-29","Amarela","B0106","Cancer","380","0","0.0","0.0"
"10","Outubro","60+","Amarela","B0106","Cancer","503","24","15778.0","4.6207"
"10","Outubro","18-29","Parda","B0106","Cancer","33153","62","42998.0","0.2183"
"10","Outubro","50-59","Amarela","B0106","Cancer","224","1","1080.0","0.8204"
"10","Outubro","18-29","Preta","B0106","Cancer","5645","9","5450.0","0.1407"
"10","Outubro","40-49","Preta","B0106","Cancer","5057","35","17577.0","0.6021"
"10","Outubro","30-39","Parda","B0106","Cancer","28057","106","64362.0","0.4022"
"10","Outubro","50-59","Branca","B0106","Cancer","22192","468","220699.0","1.9902"
"10","Outubro","18-29","Indigena","B0106","Cancer","259","1","366.0","0.3327"
"10","Outubro","40-49","Branca","B0106","Cancer","22129","254","141968.0","1.1108"
"10","Outubro","30-39","Indigena","B0106","Cancer","252","1","381.0","0.3163"
"10","Outubro","30-39","Branca","B0106","Cancer","21918","114","74880.0","0.5245"
"10","Outubro","30-39","Amarela","B0106","Cancer","379","3","3708.0","1.2514"
"10","Outubro","60+","Preta","B0106","Cancer","5329","143","74171.0","2.9462"
"10","Outubro","18-29","Branca","B0106","Cancer","23837","52","36762.0","0.2273"
"10","Outubro","40-49","Parda","B0106","Cancer","26651","175","102346.0","0.7727"
"10","Outubro","0-17","Preta","B0106","Cancer","5549","2","2077.0","0.0592"
"10","Outubro","40-49","Amarela","B0106","Cancer","338","3","1201.0","0.5528"
"10","Outubro","0-17","Branca","B0106","Cancer","35751","31","21094.0","0.0913"
"10","Outubro","50-59","Preta","B0106","Cancer","4511","68","38611.0","1.6624"
"10","Outubro","60+","Parda","B0106","Cancer","27793","679","308745.0","2.6506"
"10","Outubro","30-39",,"B0106","Cancer","7","0","0.0","0.0"
"11","Novembro","18-29","Parda","B0106","Cancer","33109","59","43968.0","0.2227"
"11","Novembro","0-17","Parda","B0106","Cancer","47689","36","18541.0","0.0707"
"9","Setembro","60+","Indigena","B0106","Cancer","214","5","3101.0","3.7359"
"9","Setembro","40-49","Indigena","B0106","Cancer","200","0","0.0","0.0"
"9","Setembro","0-17","Preta","B0106","Cancer","5700","2","1996.0","0.0564"
"11","Novembro","50-59","Branca","B0106","Cancer","22273","472","224795.0","2.0128"
"11","Novembro","30-39","Indigena","B0106","Cancer","245","1","392.0","0.3118"
"11","Novembro","60+","Amarela","B0106","Cancer","501","23","15687.0","4.572"
"11","Novembro","40-49","Branca","B0106","Cancer","22198","251","132510.0","1.0374"
"9","Setembro","18-29","Branca","B0106","Cancer","24458","52","33392.0","0.2059"
"9","Setembro","40-49","Amarela","B0106","Cancer","340","3","1424.0","0.6499"
"11","Novembro","50-59","Parda","B0106","Cancer","23149","306","146155.0","1.4308"
"9","Setembro","30-39","Parda","B0106","Cancer","28670","103","58366.0","0.3654"
"9","Setembro","40-49","Preta","B0106","Cancer","5140","38","18374.0","0.626"
"11","Novembro","0-17","Indigena","B0106","Cancer","392","1","1831.0","1.1747"
"9","Setembro","18-29","Parda","B0106","Cancer","33839","59","39148.0","0.1997"
"11","Novembro","30-39","Preta","B0106","Cancer","5222","21","11343.0","0.3385"
"9","Setembro","18-29","Preta","B0106","Cancer","5766","7","4752.0","0.1235"
"9","Setembro","0-17","Amarela","B0106","Cancer","422","0","0.0","0.0"
"9","Setembro","50-59","Indigena","B0106","Cancer","183","0","0.0","0.0"
"11","Novembro","0-17","Branca","B0106","Cancer","35662","29","24003.0","0.1038"
"9","Setembro","0-17",,"B0106","Cancer","27","0","0.0","0.0"
"9","Setembro","60+","Amarela","B0106","Cancer","510","25","18152.0","5.307"
"9","Setembro","50-59","Branca","B0106","Cancer","22438","481","227365.0","2.0441"
"11","Novembro","18-29","Branca","B0106","Cancer","23685","47","32830.0","0.2033"
"11","Novembro","40-49","Amarela","B0106","Cancer","351","3","1332.0","0.5803"
"11","Novembro","18-29","Amarela","B0106","Cancer","377","0","0.0","0.0"
"11","Novembro","50-59","Preta","B0106","Cancer","4519","68","37117.0","1.6153"
"11","Novembro","50-59","Indigena","B0106","Cancer","185","0","0.0","0.0"
"11","Novembro","50-59","Amarela","B0106","Cancer","234","1","1114.0","0.8313"
"9","Setembro","50-59","Parda","B0106","Cancer","23318","304","145824.0","1.4345"
"11","Novembro","30-39","Parda","B0106","Cancer","28038","102","64435.0","0.4041"
"11","Novembro","60+","Parda","B0106","Cancer","28064","695","315061.0","2.6867"
"9","Setembro","50-59","Preta","B0106","Cancer","4536","61","32607.0","1.424"
"9","Setembro","18-29","Amarela","B0106","Cancer","396","0","0.0","0.0"
"11","Novembro","0-17","Preta","B0106","Cancer","5521","2","2076.0","0.0597"
"9","Setembro","40-49","Branca","B0106","Cancer","22424","261","141655.0","1.1077"
"11","Novembro","40-49","Parda","B0106","Cancer","26905","182","102793.0","0.7752"
"11","Novembro","60+","Preta","B0106","Cancer","5352","147","74538.0","2.9757"
"11","Novembro","60+","Indigena","B0106","Cancer","212","5","2958.0","3.7423"
"9","Setembro","30-39","Preta","B0106","Cancer","5314","22","13290.0","0.4003"
"9","Setembro","18-29","Indigena","B0106","Cancer","259","1","398.0","0.3485"
"9","Setembro","30-39",,"B0106","Cancer","11","0","0.0","0.0"
"11","Novembro","60+","Branca","B0106","Cancer","33453","1596","813858.0","5.1467"
"11","Novembro","40-49","Preta","B0106","Cancer","5130","37","18908.0","0.6417"
"9","Setembro","60+","Parda","B0106","Cancer","28167","668","299777.0","2.5661"
"11","Novembro","18-29","Preta","B0106","Cancer","5660","8","5361.0","0.1384"
"11","Novembro","40-49","Indigena","B0106","Cancer","202","0","0.0","0.0"
"11","Novembro","18-29","Indigena","B0106","Cancer","252","1","353.0","0.3208"
"9","Setembro","60+","Preta","B0106","Cancer","5310","138","69374.0","2.7981"
"9","Setembro","60+",,"B0106","Cancer","16","1","761.0","11.4855"
"11","Novembro","0-17","Amarela","B0106","Cancer","395","0","0.0","0.0"
"11","Novembro","30-39","Amarela","B0106","Cancer","382","2","828.0","0.2868"
"9","Setembro","0-17","Branca","B0106","Cancer","36391","35","21223.0","0.0924"
"11","Novembro","30-39","Branca","B0106","Cancer","21985","119","78146.0","0.5454"
"9","Setembro","40-49","Parda","B0106","Cancer","27037","178","94258.0","0.717"
"9","Setembro","30-39","Branca","B0106","Cancer","22476","111","69503.0","0.4866"
"9","Setembro","60+","Branca","B0106","Cancer","33439","1547","784532.0","5.0139"
"9","Setembro","50-59","Amarela","B0106","Cancer","240","4","2820.0","2.0512"
"9","Setembro","0-17","Parda","B0106","Cancer","49003","41","23764.0","0.0901"
"9","Setembro","30-39","Indigena","B0106","Cancer","248","1","365.0","0.3037"
"9","Setembro","30-39","Amarela","B0106","Cancer","385","4","3953.0","1.3847"
"9","Setembro","18-29",,"B0106","Cancer","10","0","0.0","0.0"
"9","Setembro","40-49",,"B0106","Cancer","12","0","0.0","0.0"
"9","Setembro","0-17","Indigena","B0106","Cancer","385","2","2220.0","1.5674"
"10","Outubro","60+",,"B0106","Cancer","10","0","0.0","0.0"
"9","Setembro","50-59",,"B0106","Cancer","14","0","0.0","0.0"
"11","Novembro","30-39",,"B0106","Cancer","13","0","0.0","0.0"
"11","Novembro","40-49",,"B0106","Cancer","24","0","0.0","0.0"
"10","Outubro","18-29",,"B0106","Cancer","13","0","0.0","0.0"
"10","Outubro","0-17",,"B0106","Cancer","36","0","0.0","0.0"
"11","Novembro","50-59",,"B0106","Cancer","6","0","0.0","0.0"
"11","Novembro","18-29",,"B0106","Cancer","19","0","0.0","0.0"
"11","Novembro","0-17",,"B0106","Cancer","29","0","0.0","0.0"
"11","Novembro","60+",,"B0106","Cancer","5","0","0.0","0.0"
"10","Outubro","50-59",,"B0106","Cancer","8","0","0.0","0.0"
"10","Outubro","0-17","Amarela","B0105","Depressao","381","1","161.0","0.0625"
"10","Outubro","40-49","Indigena","B0105","Depressao","198","6","1983.0","2.3452"
"10","Outubro","60+","Branca","B0105","Depressao","33246","2175","1059457.0","6.7247"
"10","Outubro","40-49",,"B0105","Depressao","14","0","0.0","0.0"
"10","Outubro","50-59","Parda","B0105","Depressao","23044","1018","466379.0","4.5607"
"10","Outubro","0-17","Parda","B0105","Depressao","47618","155","78037.0","0.2972"
"10","Outubro","60+","Indigena","B0105","Depressao","212","9","3046.0","3.7954"
"10","Outubro","0-17","Indigena","B0105","Depressao","397","1","79.0","0.0549"
"10","Outubro","50-59","Indigena","B0105","Depressao","185","11","4040.0","5.8642"
"10","Outubro","30-39","Preta","B0105","Depressao","5185","127","78738.0","2.3545"
"10","Outubro","18-29","Amarela","B0105","Depressao","380","11","6783.0","2.593"
"10","Outubro","60+","Amarela","B0105","Depressao","503","22","12277.0","3.5954"
"10","Outubro","18-29","Parda","B0105","Depressao","33153","502","322752.0","1.6389"
"10","Outubro","50-59","Amarela","B0105","Depressao","224","8","4365.0","3.3172"
"10","Outubro","18-29","Preta","B0105","Depressao","5645","117","88456.0","2.2832"
"10","Outubro","40-49","Preta","B0105","Depressao","5057","165","90557.0","3.1015"
"10","Outubro","30-39","Parda","B0105","Depressao","28057","685","408194.0","2.5507"
"10","Outubro","50-59","Branca","B0105","Depressao","22192","1453","708155.0","6.3848"
"10","Outubro","18-29","Indigena","B0105","Depressao","259","5","1734.0","1.5773"
"10","Outubro","40-49","Branca","B0105","Depressao","22129","1101","630019.0","4.9295"
"10","Outubro","30-39","Indigena","B0105","Depressao","252","5","2225.0","1.8464"
"10","Outubro","30-39","Branca","B0105","Depressao","21918","788","484273.0","3.3922"
"10","Outubro","30-39","Amarela","B0105","Depressao","379","8","7326.0","2.4724"
"10","Outubro","60+","Preta","B0105","Depressao","5329","180","93079.0","3.6973"
"10","Outubro","18-29","Branca","B0105","Depressao","23837","578","400094.0","2.473"
"10","Outubro","40-49","Parda","B0105","Depressao","26651","929","490488.0","3.7024"
"10","Outubro","0-17","Preta","B0105","Depressao","5549","19","10920.0","0.3112"
"10","Outubro","40-49","Amarela","B0105","Depressao","338","10","4941.0","2.2736"
"10","Outubro","0-17","Branca","B0105","Depressao","35751","137","86973.0","0.3763"
"10","Outubro","50-59","Preta","B0105","Depressao","4511","184","98531.0","4.2423"
"10","Outubro","60+","Parda","B0105","Depressao","27793","1120","489899.0","4.2045"
"10","Outubro","30-39",,"B0105","Depressao","7","0","0.0","0.0"
"9","Setembro","60+","Indigena","B0105","Depressao","214","9","3909.0","4.7092"
"10","Outubro","18-29",,"B0105","Depressao","13","0","0.0","0.0"
"9","Setembro","0-17","Preta","B0105","Depressao","5700","19","10831.0","0.3063"
"9","Setembro","18-29","Branca","B0105","Depressao","24458","598","420626.0","2.5939"
"9","Setembro","40-49","Amarela","B0105","Depressao","340","9","5074.0","2.3159"
"9","Setembro","30-39","Parda","B0105","Depressao","28670","662","376080.0","2.3547"
"9","Setembro","40-49","Preta","B0105","Depressao","5140","169","85648.0","2.9176"
"9","Setembro","18-29","Parda","B0105","Depressao","33839","498","313082.0","1.597"
"9","Setembro","18-29","Preta","B0105","Depressao","5766","111","78454.0","2.0398"
"9","Setembro","0-17","Amarela","B0105","Depressao","422","2","654.0","0.2377"
"9","Setembro","50-59","Indigena","B0105","Depressao","183","6","1524.0","2.2318"
"9","Setembro","50-59",,"B0105","Depressao","14","0","0.0","0.0"
"9","Setembro","60+","Amarela","B0105","Depressao","510","23","12810.0","3.745"
"10","Outubro","60+",,"B0105","Depressao","10","0","0.0","0.0"
"9","Setembro","50-59","Branca","B0105","Depressao","22438","1409","664393.0","5.9712"
"9","Setembro","50-59","Parda","B0105","Depressao","23318","1018","457141.0","4.496"
"9","Setembro","50-59","Preta","B0105","Depressao","4536","178","95381.0","4.1655"
"9","Setembro","18-29","Amarela","B0105","Depressao","396","9","6107.0","2.2896"
"9","Setembro","40-49","Branca","B0105","Depressao","22424","1101","618975.0","4.8399"
"9","Setembro","30-39","Preta","B0105","Depressao","5314","130","76020.0","2.2896"
"9","Setembro","18-29","Indigena","B0105","Depressao","259","6","1974.0","1.7286"
"9","Setembro","60+","Parda","B0105","Depressao","28167","1107","472710.0","4.0462"
"10","Outubro","50-59",,"B0105","Depressao","8","0","0.0","0.0"
"10","Outubro","0-17",,"B0105","Depressao","36","0","0.0","0.0"
"9","Setembro","60+","Preta","B0105","Depressao","5310","169","86244.0","3.4769"
"9","Setembro","60+",,"B0105","Depressao","16","0","0.0","0.0"
"9","Setembro","0-17","Branca","B0105","Depressao","36391","129","76413.0","0.3327"
"9","Setembro","40-49","Parda","B0105","Depressao","27037","921","480620.0","3.654"
"9","Setembro","30-39","Branca","B0105","Depressao","22476","809","495660.0","3.4704"
"9","Setembro","60+","Branca","B0105","Depressao","33439","2128","1026638.0","6.5605"
"9","Setembro","50-59","Amarela","B0105","Depressao","240","11","7055.0","5.1315"
"9","Setembro","0-17","Parda","B0105","Depressao","49003","152","79112.0","0.3"
"9","Setembro","30-39","Indigena","B0105","Depressao","248","4","1848.0","1.5381"
"9","Setembro","30-39","Amarela","B0105","Depressao","385","7","6264.0","2.1939"
"9","Setembro","0-17","Indigena","B0105","Depressao","385","1","77.0","0.0541"
"11","Novembro","0-17","Parda","B0105","Depressao","47689","157","80377.0","0.3064"
"11","Novembro","18-29","Parda","B0105","Depressao","33109","513","330214.0","1.6722"
"9","Setembro","40-49","Indigena","B0105","Depressao","200","9","3305.0","3.9761"
"11","Novembro","50-59","Branca","B0105","Depressao","22273","1469","719049.0","6.4378"
"11","Novembro","30-39","Indigena","B0105","Depressao","245","5","1983.0","1.5783"
"11","Novembro","60+","Amarela","B0105","Depressao","501","24","14460.0","4.21"
"11","Novembro","40-49","Branca","B0105","Depressao","22198","1112","627541.0","4.9129"
"11","Novembro","50-59","Parda","B0105","Depressao","23149","1025","473349.0","4.6332"
"11","Novembro","0-17","Indigena","B0105","Depressao","392","1","78.0","0.0501"
"11","Novembro","30-39","Preta","B0105","Depressao","5222","134","83924.0","2.504"
"11","Novembro","0-17","Branca","B0105","Depressao","35662","137","85160.0","0.3681"
"11","Novembro","18-29","Branca","B0105","Depressao","23685","575","400694.0","2.4807"
"11","Novembro","40-49","Amarela","B0105","Depressao","351","12","6083.0","2.6502"
"11","Novembro","18-29","Amarela","B0105","Depressao","377","9","5646.0","2.1211"
"11","Novembro","50-59","Amarela","B0105","Depressao","234","8","5179.0","3.8662"
"11","Novembro","50-59","Preta","B0105","Depressao","4519","174","93999.0","4.0888"
"11","Novembro","50-59","Indigena","B0105","Depressao","185","10","3448.0","5.2074"
"11","Novembro","60+","Parda","B0105","Depressao","28064","1149","492637.0","4.2009"
"11","Novembro","30-39","Parda","B0105","Depressao","28038","701","415195.0","2.6039"
"11","Novembro","0-17","Preta","B0105","Depressao","5521","19","11510.0","0.3311"
"11","Novembro","40-49","Parda","B0105","Depressao","26905","946","497126.0","3.7479"
"11","Novembro","60+","Preta","B0105","Depressao","5352","189","100701.0","4.0201"
"11","Novembro","60+","Indigena","B0105","Depressao","212","11","4880.0","6.1729"
"11","Novembro","40-49","Preta","B0105","Depressao","5130","172","95233.0","3.2318"
"11","Novembro","60+","Branca","B0105","Depressao","33453","2210","1073661.0","6.7894"
"11","Novembro","18-29","Preta","B0105","Depressao","5660","106","79008.0","2.0398"
"11","Novembro","40-49","Indigena","B0105","Depressao","202","7","2087.0","2.4001"
"11","Novembro","18-29","Indigena","B0105","Depressao","252","5","1664.0","1.5131"
"11","Novembro","0-17","Amarela","B0105","Depressao","395","2","657.0","0.2427"
"11","Novembro","30-39","Amarela","B0105","Depressao","382","9","8552.0","2.9632"
"11","Novembro","30-39","Branca","B0105","Depressao","21985","794","506101.0","3.5319"
"9","Setembro","18-29",,"B0105","Depressao","10","0","0.0","0.0"
"9","Setembro","0-17",,"B0105","Depressao","27","0","0.0","0.0"
"9","Setembro","40-49",,"B0105","Depressao","12","0","0.0","0.0"
"11","Novembro","30-39",,"B0105","Depressao","13","0","0.0","0.0"
"11","Novembro","40-49",,"B0105","Depressao","24","0","0.0","0.0"
"11","Novembro","18-29",,"B0105","Depressao","19","1","568.0","4.4841"
"11","Novembro","0-17",,"B0105","Depressao","29","0","0.0","0.0"
"9","Setembro","30-39",,"B0105","Depressao","11","0","0.0","0.0"
"11","Novembro","50-59",,"B0105","Depressao","6","0","0.0","0.0"
"11","Novembro","60+",,"B0105","Depressao","5","0","0.0","0.0"
"10","Outubro","0-17","Amarela","B0104","Doenca do coracao","381","0","0.0","0.0"
"11","Novembro","18-29","Parda","B0103","Asma ou bronquite","33109","1530","991891.0","5.023"
"11","Novembro","0-17","Parda","B0103","Asma ou bronquite","47689","2488","1551121.0","5.9123"
"10","Outubro","0-17","Amarela","B0103","Asma ou bronquite","381","23","13717.0","5.3394"
"10","Outubro","40-49","Indigena","B0104","Doenca do coracao","198","1","249.0","0.2943"
"9","Setembro","60+","Indigena","B0104","Doenca do coracao","214","22","8736.0","10.5245"
"10","Outubro","18-29",,"B0104","Doenca do coracao","13","0","0.0","0.0"
"10","Outubro","60+","Branca","B0104","Doenca do coracao","33246","3752","1832588.0","11.632"
"10","Outubro","40-49",,"B0104","Doenca do coracao","14","0","0.0","0.0"
"9","Setembro","0-17","Preta","B0104","Doenca do coracao","5700","22","11541.0","0.3264"
