"v1013","mes_nome","faixa_etaria","raca","comorbidade_codigo","comorbidade","n_amostra","qtd_respostas_sim","pop_estimada_com_comorbidade","pct_com_comorbidade"
"9","Setembro","40-49",,"B0104","Doenca do coracao","12","0","0.0","0.0"
"11","Novembro","60+",,"B0104","Doenca do coracao","5","0","0.0","0.0"
"9","Setembro","18-29",,"B0104","Doenca do coracao","10","0","0.0","0.0"
"9","Setembro","0-17",,"B0104","Doenca do coracao","27","0","0.0","0.0"
"11","Novembro","50-59",,"B0104","Doenca do coracao","6","0","0.0","0.0"
"9","Setembro","60+","Indigena","B0101","Diabetes","214","38","13249.0","15.9618"
"9","Setembro","40-49","Indigena","B0101","Diabetes","200","4","747.0","0.8989"
"9","Setembro","0-17","Preta","B0101","Diabetes","5700","13","6415.0","0.1814"
"9","Setembro","18-29","Branca","B0101","Diabetes","24458","112","78519.0","0.4841"
"9","Setembro","40-49","Amarela","B0101","Diabetes","340","23","21189.0","9.6702"
"9","Setembro","30-39","Parda","B0101","Diabetes","28670","463","255309.0","1.5984"
"9","Setembro","40-49","Preta","B0101","Diabetes","5140","292","170107.0","5.7943"
"9","Setembro","18-29","Parda","B0101","Diabetes","33839","158","93784.0","0.4784"
"9","Setembro","18-29","Preta","B0101","Diabetes","5766","41","28717.0","0.7466"
"9","Setembro","0-17","Amarela","B0101","Diabetes","422","0","0.0","0.0"
"9","Setembro","50-59","Indigena","B0101","Diabetes","183","15","3474.0","5.0875"
"9","Setembro","50-59",,"B0101","Diabetes","14","1","249.0","4.6495"
"9","Setembro","0-17",,"B0101","Diabetes","27","0","0.0","0.0"
"9","Setembro","60+","Amarela","B0101","Diabetes","510","108","76861.0","22.4708"
"9","Setembro","50-59","Branca","B0101","Diabetes","22438","2113","1100816.0","9.8933"
"9","Setembro","50-59","Parda","B0101","Diabetes","23318","2482","1144536.0","11.2556"
"9","Setembro","50-59","Preta","B0101","Diabetes","4536","580","280620.0","12.2552"
"9","Setembro","18-29","Amarela","B0101","Diabetes","396","0","0.0","0.0"
"9","Setembro","40-49","Branca","B0101","Diabetes","22424","886","512577.0","4.0087"
"9","Setembro","30-39","Preta","B0101","Diabetes","5314","93","62884.0","1.894"
"9","Setembro","18-29","Indigena","B0101","Diabetes","259","0","0.0","0.0"
"9","Setembro","30-39",,"B0101","Diabetes","11","0","0.0","0.0"
"9","Setembro","60+","Parda","B0101","Diabetes","28167","5661","2437540.0","20.8629"
"9","Setembro","60+","Preta","B0101","Diabetes","5310","1069","527095.0","21.2562"
"9","Setembro","0-17","Branca","B0101","Diabetes","36391","81","46251.0","0.2014"
"9","Setembro","30-39","Branca","B0101","Diabetes","22476","351","231097.0","1.618"
"9","Setembro","40-49","Parda","B0101","Diabetes","27037","1253","622063.0","4.7292"
"9","Setembro","60+","Branca","B0101","Diabetes","33439","6442","3138471.0","20.0571"
"9","Setembro","50-59","Amarela","B0101","Diabetes","240","25","17287.0","12.5741"
"9","Setembro","0-17","Parda","B0101","Diabetes","49003","76","41847.0","0.1587"
"9","Setembro","30-39","Indigena","B0101","Diabetes","248","5","2881.0","2.3972"
"9","Setembro","30-39","Amarela","B0101","Diabetes","385","6","4950.0","1.7337"
"9","Setembro","0-17","Indigena","B0101","Diabetes","385","0","0.0","0.0"
"10","Outubro","0-17","Amarela","B0101","Diabetes","381","0","0.0","0.0"
"10","Outubro","40-49","Indigena","B0101","Diabetes","198","5","904.0","1.0685"
"10","Outubro","18-29",,"B0101","Diabetes","13","0","0.0","0.0"
"10","Outubro","60+","Branca","B0101","Diabetes","33246","6463","3174474.0","20.1477"
"10","Outubro","40-49",,"B0101","Diabetes","14","0","0.0","0.0"
"10","Outubro","0-17","Parda","B0101","Diabetes","47618","78","45765.0","0.1743"
"10","Outubro","50-59","Parda","B0101","Diabetes","23044","2503","1166473.0","11.4069"
"10","Outubro","0-17","Indigena","B0101","Diabetes","397","0","0.0","0.0"
"10","Outubro","60+","Indigena","B0101","Diabetes","212","39","13305.0","16.5794"
"10","Outubro","50-59","Indigena","B0101","Diabetes","185","16","4676.0","6.7872"
"10","Outubro","30-39","Preta","B0101","Diabetes","5185","98","67103.0","2.0063"
"10","Outubro","18-29","Amarela","B0101","Diabetes","380","0","0.0","0.0"
"10","Outubro","60+","Amarela","B0101","Diabetes","503","105","78105.0","22.8731"
"10","Outubro","18-29","Parda","B0101","Diabetes","33153","168","103494.0","0.5256"
"10","Outubro","50-59","Amarela","B0101","Diabetes","224","22","16134.0","12.2466"
"10","Outubro","18-29","Preta","B0101","Diabetes","5645","38","29664.0","0.7656"
"10","Outubro","40-49","Preta","B0101","Diabetes","5057","290","167353.0","5.7326"
"10","Outubro","30-39","Parda","B0101","Diabetes","28057","458","267883.0","1.6738"
"10","Outubro","60+",,"B0101","Diabetes","10","1","938.0","14.625"
"10","Outubro","50-59","Branca","B0101","Diabetes","22192","2127","1131050.0","10.1976"
"10","Outubro","18-29","Indigena","B0101","Diabetes","259","0","0.0","0.0"
"10","Outubro","40-49","Branca","B0101","Diabetes","22129","892","514670.0","4.0274"
"10","Outubro","30-39","Indigena","B0101","Diabetes","252","7","3803.0","3.1557"
"10","Outubro","30-39","Branca","B0101","Diabetes","21918","346","236141.0","1.6541"
"10","Outubro","60+","Preta","B0101","Diabetes","5329","1073","535024.0","21.2537"
"10","Outubro","30-39","Amarela","B0101","Diabetes","379","6","2994.0","1.0103"
"10","Outubro","18-29","Branca","B0101","Diabetes","23837","110","80487.0","0.4974"
"10","Outubro","50-59",,"B0101","Diabetes","8","0","0.0","0.0"
"10","Outubro","0-17",,"B0101","Diabetes","36","0","0.0","0.0"
"9","Setembro","60+",,"B0101","Diabetes","16","1","893.0","13.47"
"10","Outubro","40-49","Parda","B0101","Diabetes","26651","1247","638475.0","4.8195"
"10","Outubro","0-17","Preta","B0101","Diabetes","5549","14","6810.0","0.1941"
"10","Outubro","40-49","Amarela","B0101","Diabetes","338","21","18949.0","8.7186"
"10","Outubro","0-17","Branca","B0101","Diabetes","35751","77","44016.0","0.1905"
"10","Outubro","60+","Parda","B0101","Diabetes","27793","5659","2471681.0","21.2072"
"10","Outubro","50-59","Preta","B0101","Diabetes","4511","584","295970.0","12.7432"
"10","Outubro","30-39",,"B0101","Diabetes","7","0","0.0","0.0"
"9","Setembro","18-29",,"B0101","Diabetes","10","0","0.0","0.0"
"9","Setembro","40-49",,"B0101","Diabetes","12","0","0.0","0.0"
"11","Novembro","0-17","Parda","B0101","Diabetes","47689","85","50734.0","0.1934"
"11","Novembro","18-29","Parda","B0101","Diabetes","33109","169","110160.0","0.5579"
"11","Novembro","30-39",,"B0101","Diabetes","13","0","0.0","0.0"
"11","Novembro","50-59","Branca","B0101","Diabetes","22273","2108","1117582.0","10.0062"
"11","Novembro","60+","Amarela","B0101","Diabetes","501","103","74245.0","21.6158"
"11","Novembro","30-39","Indigena","B0101","Diabetes","245","7","3748.0","2.9826"
"11","Novembro","40-49","Branca","B0101","Diabetes","22198","896","530339.0","4.1517"
"11","Novembro","50-59","Parda","B0101","Diabetes","23149","2538","1179635.0","11.5456"
"11","Novembro","0-17","Indigena","B0101","Diabetes","392","0","0.0","0.0"
"11","Novembro","30-39","Preta","B0101","Diabetes","5222","97","69465.0","2.0726"
"11","Novembro","0-17","Branca","B0101","Diabetes","35662","78","46145.0","0.1995"
"11","Novembro","18-29","Branca","B0101","Diabetes","23685","113","85669.0","0.5304"
"11","Novembro","18-29","Amarela","B0101","Diabetes","377","0","0.0","0.0"
"11","Novembro","40-49","Amarela","B0101","Diabetes","351","21","18814.0","8.1969"
"11","Novembro","50-59","Preta","B0101","Diabetes","4519","574","282891.0","12.3053"
"11","Novembro","50-59","Amarela","B0101","Diabetes","234","25","17894.0","13.3585"
"11","Novembro","50-59","Indigena","B0101","Diabetes","185","17","4665.0","7.0446"
"11","Novembro","30-39","Parda","B0101","Diabetes","28038","459","268027.0","1.681"
"11","Novembro","60+","Parda","B0101","Diabetes","28064","5750","2484070.0","21.1823"
"11","Novembro","0-17","Preta","B0101","Diabetes","5521","14","8154.0","0.2345"
"11","Novembro","40-49","Parda","B0101","Diabetes","26905","1226","629133.0","4.7434"
"11","Novembro","60+","Preta","B0101","Diabetes","5352","1098","537927.0","21.4762"
"11","Novembro","60+","Indigena","B0101","Diabetes","212","40","11984.0","15.1601"
"11","Novembro","40-49",,"B0101","Diabetes","24","0","0.0","0.0"
"11","Novembro","40-49","Preta","B0101","Diabetes","5130","292","174263.0","5.9145"
"11","Novembro","60+","Branca","B0101","Diabetes","33453","6484","3169685.0","20.0416"
"11","Novembro","18-29",,"B0101","Diabetes","19","0","0.0","0.0"
"11","Novembro","18-29","Preta","B0101","Diabetes","5660","36","24970.0","0.6447"
"11","Novembro","18-29","Indigena","B0101","Diabetes","252","0","0.0","0.0"
"11","Novembro","40-49","Indigena","B0101","Diabetes","202","4","657.0","0.7551"
"11","Novembro","0-17","Amarela","B0101","Diabetes","395","0","0.0","0.0"
"11","Novembro","30-39","Amarela","B0101","Diabetes","382","8","3683.0","1.276"
"11","Novembro","30-39","Branca","B0101","Diabetes","21985","335","220927.0","1.5418"
"11","Novembro","0-17",,"B0101","Diabetes","29","0","0.0","0.0"
"11","Novembro","60+",,"B0101","Diabetes","5","1","933.0","50.2457"
"11","Novembro","50-59",,"B0101","Diabetes","6","0","0.0","0.0"
"10","Outubro","0-17","Amarela","B0102","Hipertensao","381","0","0.0","0.0"
"10","Outubro","40-49","Indigena","B0102","Hipertensao","198","27","10545.0","12.4679"
"9","Setembro","60+","Indigena","B0102","Hipertensao","214","94","37027.0","44.6068"
"9","Setembro","40-49","Indigena","B0102","Hipertensao","200","27","9731.0","11.706"
"10","Outubro","18-29",,"B0102","Hipertensao","13","0","0.0","0.0"
"10","Outubro","60+","Branca","B0102","Hipertensao","33246","15225","7214792.0","45.7894"
"9","Setembro","0-17","Preta","B0102","Hipertensao","5700","10","4723.0","0.1336"
"10","Outubro","50-59","Parda","B0102","Hipertensao","23044","6670","2957023.0","28.9165"
"10","Outubro","0-17","Parda","B0102","Hipertensao","47618","59","38924.0","0.1482"
"10","Outubro","60+","Indigena","B0102","Hipertensao","212","94","34039.0","42.3112"
"10","Outubro","0-17","Indigena","B0102","Hipertensao","397","0","0.0","0.0"
"10","Outubro","50-59","Indigena","B0102","Hipertensao","185","53","16313.0","23.6787"
"10","Outubro","30-39","Preta","B0102","Hipertensao","5185","361","225503.0","6.7422"
"9","Setembro","18-29","Branca","B0102","Hipertensao","24458","270","180556.0","1.1133"
"10","Outubro","60+","Amarela","B0102","Hipertensao","503","204","127795.0","37.4253"
"10","Outubro","18-29","Amarela","B0102","Hipertensao","380","4","2606.0","0.9962"
"9","Setembro","30-39","Parda","B0102","Hipertensao","28670","1566","875703.0","5.4824"
"10","Outubro","18-29","Parda","B0102","Hipertensao","33153","444","272310.0","1.3827"
"10","Outubro","50-59","Amarela","B0102","Hipertensao","224","46","25841.0","19.6149"
"9","Setembro","40-49","Preta","B0102","Hipertensao","5140","876","518633.0","17.6635"
"9","Setembro","18-29","Parda","B0102","Hipertensao","33839","445","284647.0","1.4519"
"9","Setembro","18-29","Preta","B0102","Hipertensao","5766","105","79662.0","2.0712"
"10","Outubro","18-29","Preta","B0102","Hipertensao","5645","113","88366.0","2.2807"
"10","Outubro","40-49","Preta","B0102","Hipertensao","5057","889","533839.0","18.2838"
"9","Setembro","50-59","Indigena","B0102","Hipertensao","183","59","18269.0","26.7526"
"10","Outubro","30-39","Parda","B0102","Hipertensao","28057","1547","877393.0","5.4823"
"9","Setembro","60+","Amarela","B0102","Hipertensao","510","207","124175.0","36.3035"
"10","Outubro","60+",,"B0102","Hipertensao","10","2","2296.0","35.7881"
"9","Setembro","50-59","Branca","B0102","Hipertensao","22438","5927","2950688.0","26.52"
"10","Outubro","50-59","Branca","B0102","Hipertensao","22192","5927","2980071.0","26.8686"
"10","Outubro","18-29","Indigena","B0102","Hipertensao","259","2","656.0","0.5965"
"10","Outubro","40-49","Branca","B0102","Hipertensao","22129","2965","1735856.0","13.5817"
"9","Setembro","50-59","Parda","B0102","Hipertensao","23318","6713","2940688.0","28.921"
"9","Setembro","50-59","Preta","B0102","Hipertensao","4536","1504","774963.0","33.844"
"9","Setembro","18-29","Amarela","B0102","Hipertensao","396","4","2298.0","0.8617"
"10","Outubro","30-39","Indigena","B0102","Hipertensao","252","17","7804.0","6.4761"
"9","Setembro","40-49","Branca","B0102","Hipertensao","22424","3001","1712974.0","13.3932"
"10","Outubro","30-39","Branca","B0102","Hipertensao","21918","1099","746793.0","5.2312"
"10","Outubro","60+","Preta","B0102","Hipertensao","5329","2824","1355708.0","53.852"
"10","Outubro","30-39","Amarela","B0102","Hipertensao","379","16","10836.0","3.6572"
"9","Setembro","30-39","Preta","B0102","Hipertensao","5314","383","230003.0","6.9274"
"9","Setembro","30-39",,"B0102","Hipertensao","11","0","0.0","0.0"
"9","Setembro","18-29","Indigena","B0102","Hipertensao","259","2","629.0","0.5513"
"9","Setembro","60+","Parda","B0102","Hipertensao","28167","13573","5712132.0","48.8819"
"10","Outubro","18-29","Branca","B0102","Hipertensao","23837","269","176208.0","1.089"
"10","Outubro","0-17",,"B0102","Hipertensao","36","0","0.0","0.0"
"9","Setembro","60+","Preta","B0102","Hipertensao","5310","2752","1308764.0","52.7615"
"9","Setembro","60+",,"B0102","Hipertensao","16","5","3266.0","49.2824"
"10","Outubro","40-49","Parda","B0102","Hipertensao","26651","3911","1966578.0","14.845"
"9","Setembro","0-17","Branca","B0102","Hipertensao","36391","36","19081.0","0.0831"
"10","Outubro","0-17","Preta","B0102","Hipertensao","5549","8","4003.0","0.1141"
"10","Outubro","40-49","Amarela","B0102","Hipertensao","338","48","34131.0","15.7045"
"9","Setembro","30-39","Branca","B0102","Hipertensao","22476","1126","747494.0","5.2337"
"9","Setembro","40-49","Parda","B0102","Hipertensao","27037","3945","1937422.0","14.7301"
"10","Outubro","0-17","Branca","B0102","Hipertensao","35751","37","19956.0","0.0864"
"9","Setembro","60+","Branca","B0102","Hipertensao","33439","15162","7113484.0","45.4542"
"9","Setembro","50-59","Amarela","B0102","Hipertensao","240","51","29471.0","21.4366"
"10","Outubro","60+","Parda","B0102","Hipertensao","27793","13614","5780006.0","49.5883"
"10","Outubro","50-59","Preta","B0102","Hipertensao","4511","1499","790557.0","34.038"
"10","Outubro","30-39",,"B0102","Hipertensao","7","0","0.0","0.0"
"9","Setembro","0-17","Parda","B0102","Hipertensao","49003","64","37990.0","0.144"
"9","Setembro","30-39","Indigena","B0102","Hipertensao","248","19","9450.0","7.8634"
"9","Setembro","0-17","Indigena","B0102","Hipertensao","385","0","0.0","0.0"
"9","Setembro","30-39","Amarela","B0102","Hipertensao","385","17","10008.0","3.5056"
"11","Novembro","0-17","Parda","B0102","Hipertensao","47689","47","29329.0","0.1118"
"11","Novembro","18-29","Parda","B0102","Hipertensao","33109","464","290702.0","1.4721"
"11","Novembro","50-59","Branca","B0102","Hipertensao","22273","5941","2997341.0","26.8368"
"11","Novembro","60+","Amarela","B0102","Hipertensao","501","208","127531.0","37.1294"
"11","Novembro","30-39","Indigena","B0102","Hipertensao","245","20","10349.0","8.2356"
"11","Novembro","40-49","Branca","B0102","Hipertensao","22198","2972","1725600.0","13.5093"
"9","Setembro","40-49","Amarela","B0102","Hipertensao","340","52","32780.0","14.9604"
"11","Novembro","50-59","Parda","B0102","Hipertensao","23149","6766","2985729.0","29.2243"
"11","Novembro","0-17","Indigena","B0102","Hipertensao","392","0","0.0","0.0"
"11","Novembro","30-39","Preta","B0102","Hipertensao","5222","369","223065.0","6.6555"
"9","Setembro","0-17","Amarela","B0102","Hipertensao","422","0","0.0","0.0"
"11","Novembro","0-17","Branca","B0102","Hipertensao","35662","28","16610.0","0.0718"
"9","Setembro","50-59",,"B0102","Hipertensao","14","4","1504.0","28.1242"
"11","Novembro","18-29","Branca","B0102","Hipertensao","23685","266","180509.0","1.1175"
"11","Novembro","40-49","Amarela","B0102","Hipertensao","351","55","39774.0","17.3286"
"11","Novembro","18-29","Amarela","B0102","Hipertensao","377","5","2912.0","1.0939"
"11","Novembro","50-59","Preta","B0102","Hipertensao","4519","1527","791938.0","34.4479"
"11","Novembro","50-59","Indigena","B0102","Hipertensao","185","59","18197.0","27.4785"
"11","Novembro","50-59","Amarela","B0102","Hipertensao","234","50","27083.0","20.2186"
"11","Novembro","60+","Parda","B0102","Hipertensao","28064","13835","5830272.0","49.7155"
"11","Novembro","30-39","Parda","B0102","Hipertensao","28038","1534","850546.0","5.3343"
"11","Novembro","0-17","Preta","B0102","Hipertensao","5521","7","3363.0","0.0967"
"11","Novembro","40-49","Parda","B0102","Hipertensao","26905","3911","1946772.0","14.677"
"11","Novembro","60+","Preta","B0102","Hipertensao","5352","2843","1348452.0","53.8323"
"11","Novembro","60+","Indigena","B0102","Hipertensao","212","99","34025.0","43.0427"
"11","Novembro","60+","Branca","B0102","Hipertensao","33453","15388","7301869.0","46.1673"
"11","Novembro","40-49","Preta","B0102","Hipertensao","5130","888","528535.0","17.936"
"11","Novembro","18-29","Preta","B0102","Hipertensao","5660","107","83054.0","2.1442"
"11","Novembro","18-29","Indigena","B0102","Hipertensao","252","2","647.0","0.5881"
"11","Novembro","40-49","Indigena","B0102","Hipertensao","202","27","10296.0","11.8405"
"11","Novembro","0-17","Amarela","B0102","Hipertensao","395","0","0.0","0.0"
"11","Novembro","30-39","Amarela","B0102","Hipertensao","382","19","12123.0","4.2006"
"11","Novembro","30-39","Branca","B0102","Hipertensao","21985","1128","763147.0","5.3257"
"11","Novembro","30-39",,"B0102","Hipertensao","13","0","0.0","0.0"
"11","Novembro","18-29",,"B0102","Hipertensao","19","0","0.0","0.0"
"11","Novembro","0-17",,"B0102","Hipertensao","29","0","0.0","0.0"
"10","Outubro","40-49",,"B0102","Hipertensao","14","1","355.0","5.297"
"10","Outubro","50-59",,"B0102","Hipertensao","8","3","1246.0","47.7102"
"11","Novembro","40-49",,"B0102","Hipertensao","24","2","1137.0","10.9718"
"11","Novembro","50-59",,"B0102","Hipertensao","6","1","429.0","29.9367"
"11","Novembro","60+",,"B0102","Hipertensao","5","1","933.0","50.2457"
"9","Setembro","0-17",,"B0102","Hipertensao","27","0","0.0","0.0"
"9","Setembro","18-29",,"B0102","Hipertensao","10","0","0.0","0.0"
"9","Setembro","40-49",,"B0102","Hipertensao","12","0","0.0","0.0"
