"v1013","mes_nome","faixa_renda","regiao","item_codigo","item_protecao","n_amostra","qtd_tem_item","pop_estimada_tem_item","pct_tem_item"
"11","Novembro","Sem informacao","Sudeste","F002A1","Sabao ou detergente","66742","66493","5.1445534E7","99.6552"
"9","Setembro","Sem informacao","Sul","F002A3","Mascara","37570","37436","1.6747948E7","99.6611"
"9","Setembro","2 a 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","8365","8302","7422312.0","99.2394"
"11","Novembro","Sem informacao","Sudeste","F002A2","Alcool 70","66742","64623","5.0096514E7","97.0914"
"11","Novembro","Sem informacao","Sudeste","F002A4","Luvas descartaveis","66742","25834","2.2257044E7","43.2971"
"9","Setembro","2 a 4 SM","Sudeste","F002A1","Sabao ou detergente","8365","8352","7480066.0","99.9151"
"9","Setembro","Sem informacao","Sudeste","F002A1","Sabao ou detergente","68403","68137","5.2083122E7","99.6662"
"9","Setembro","2 a 4 SM","Sudeste","F002A4","Luvas descartaveis","8365","4398","4082949.0","54.7539"
"9","Setembro","Sem informacao","Sudeste","F002A4","Luvas descartaveis","68403","27462","2.2887251E7","44.0036"
"9","Setembro","Sem informacao","Sudeste","F002A5","Agua sanitaria ou desinfetante","68403","67251","5.1421598E7","98.4992"
"11","Novembro","Acima 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","3504","3492","1628765.0","99.7695"
"9","Setembro","2 a 4 SM","Sul","F002A3","Mascara","6934","6924","3240907.0","99.8577"
"11","Novembro","Sem informacao","Sudeste","F002A3","Mascara","66742","66412","5.1429639E7","99.6077"
"9","Setembro","2 a 4 SM","Sudeste","F002A2","Alcool 70","8365","8279","7408975.0","99.005"
"9","Setembro","Sem informacao","Sudeste","F002A2","Alcool 70","68403","66178","5.0667167E7","96.9835"
"11","Novembro","2 a 4 SM","Sudeste","F002A1","Sabao ou detergente","8270","8260","7589524.0","99.901"
"11","Novembro","Acima 4 SM","Sudeste","F002A1","Sabao ou detergente","5085","5078","4865951.0","99.8725"
"11","Novembro","Ate 1 SM","Sudeste","F002A1","Sabao ou detergente","12754","12718","8680470.0","99.771"
"9","Setembro","Acima 4 SM","Sudeste","F002A1","Sabao ou detergente","5263","5258","4935194.0","99.9842"
"9","Setembro","1 a 2 SM","Sul","F002A3","Mascara","13125","13095","6147784.0","99.7829"
"11","Novembro","2 a 4 SM","Sudeste","F002A3","Mascara","8270","8249","7581438.0","99.7945"
"11","Novembro","Acima 4 SM","Sudeste","F002A3","Mascara","5085","5073","4860198.0","99.7545"
"11","Novembro","Ate 1 SM","Sudeste","F002A3","Mascara","12754","12706","8675313.0","99.6967"
"9","Setembro","Acima 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","5263","5238","4912985.0","99.5342"
"9","Setembro","Ate 1 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","12540","12338","8182894.0","98.5275"
"9","Setembro","1 a 2 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","18564","18339","1.5927396E7","99.055"
"11","Novembro","2 a 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","6811","6771","3226491.0","99.5437"
"11","Novembro","2 a 4 SM","Sudeste","F002A4","Luvas descartaveis","8270","4153","4014799.0","53.0463"
"11","Novembro","Acima 4 SM","Sudeste","F002A4","Luvas descartaveis","5085","3007","2943807.0","60.4687"
"11","Novembro","Ate 1 SM","Sudeste","F002A4","Luvas descartaveis","12754","4666","3594592.0","41.4178"
"9","Setembro","Acima 4 SM","Sudeste","F002A4","Luvas descartaveis","5263","3207","3023190.0","61.274"
"11","Novembro","2 a 4 SM","Sudeste","F002A2","Alcool 70","8270","8195","7529536.0","99.1516"
"11","Novembro","Acima 4 SM","Sudeste","F002A2","Alcool 70","5085","5054","4842310.0","99.3873"
"11","Novembro","Ate 1 SM","Sudeste","F002A2","Alcool 70","12754","12349","8438376.0","97.06"
"9","Setembro","Acima 4 SM","Sudeste","F002A2","Alcool 70","5263","5240","4921366.0","99.704"
"9","Setembro","Ate 1 SM","Sudeste","F002A1","Sabao ou detergente","12540","12499","8289134.0","99.7634"
"9","Setembro","1 a 2 SM","Sudeste","F002A1","Sabao ou detergente","18564","18528","1.6073196E7","99.8981"
"11","Novembro","1 a 2 SM","Sudeste","F002A1","Sabao ou detergente","18520","18479","1.6367833E7","99.8525"
"11","Novembro","Sem informacao","Centro-Oeste","F002A1","Sabao ou detergente","23363","23274","9186229.0","99.6261"
"10","Outubro","2 a 4 SM","Sudeste","F002A1","Sabao ou detergente","8265","8253","7602291.0","99.8587"
"10","Outubro","Acima 4 SM","Sudeste","F002A1","Sabao ou detergente","5120","5115","4865671.0","99.9713"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A1","Sabao ou detergente","7172","7159","2908124.0","99.8396"
"10","Outubro","Sem informacao","Sudeste","F002A1","Sabao ou detergente","66930","66646","5.1522768E7","99.664"
"11","Novembro","Sem informacao","Sul","F002A5","Agua sanitaria ou desinfetante","36399","36017","1.6438822E7","99.1456"
"11","Novembro","Ate 1 SM","Sul","F002A5","Agua sanitaria ou desinfetante","5496","5425","2404814.0","98.8929"
"11","Novembro","1 a 2 SM","Sul","F002A5","Agua sanitaria ou desinfetante","13025","12932","6276379.0","99.4538"
"10","Outubro","1 a 2 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","7085","6995","2884273.0","98.7042"
"10","Outubro","2 a 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","6799","6759","3212356.0","99.5377"
"10","Outubro","Sem informacao","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","23171","22739","9076143.0","98.1991"
"10","Outubro","1 a 2 SM","Sul","F002A5","Agua sanitaria ou desinfetante","13039","12931","6207557.0","99.4592"
"10","Outubro","Ate 1 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","4461","4369","1837114.0","98.0017"
"11","Novembro","1 a 2 SM","Sudeste","F002A3","Mascara","18520","18447","1.6333986E7","99.6339"
"9","Setembro","Acima 4 SM","Sul","F002A3","Mascara","3505","3501","1621200.0","99.8956"
"9","Setembro","Ate 1 SM","Sul","F002A3","Mascara","5487","5472","2346971.0","99.7631"
"10","Outubro","1 a 2 SM","Centro-Oeste","F002A3","Mascara","7085","7069","2915727.0","99.7235"
"10","Outubro","2 a 4 SM","Sul","F002A3","Mascara","6799","6774","3223464.0","99.7848"
"10","Outubro","Sem informacao","Centro-Oeste","F002A3","Mascara","23171","23068","9215198.0","99.5602"
"11","Novembro","Acima 4 SM","Sul","F002A3","Mascara","3504","3500","1631280.0","99.8972"
"10","Outubro","1 a 2 SM","Sul","F002A3","Mascara","13039","13005","6234746.0","99.7558"
"9","Setembro","Ate 1 SM","Sudeste","F002A2","Alcool 70","12540","12081","8020116.0","96.5719"
"9","Setembro","1 a 2 SM","Sudeste","F002A2","Alcool 70","18564","18198","1.5806462E7","98.253"
"11","Novembro","1 a 2 SM","Sudeste","F002A2","Alcool 70","18520","18139","1.6084627E7","98.1411"
"10","Outubro","2 a 4 SM","Norte","F002A2","Alcool 70","2339","2291","802109.0","98.0512"
"10","Outubro","Acima 4 SM","Norte","F002A2","Alcool 70","1310","1298","438025.0","99.0058"
"10","Outubro","1 a 2 SM","Nordeste","F002A2","Alcool 70","8932","8720","4961251.0","97.6344"
"10","Outubro","1 a 2 SM","Norte","F002A2","Alcool 70","5279","5040","1919501.0","96.0221"
"10","Outubro","Acima 4 SM","Nordeste","F002A2","Alcool 70","1937","1927","1112029.0","99.3486"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","3649","3645","1483937.0","99.8785"
"10","Outubro","1 a 2 SM","Sudeste","F002A1","Sabao ou detergente","18492","18454","1.6281413E7","99.9008"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A1","Sabao ou detergente","4605","4590","1906857.0","99.6449"
"10","Outubro","Ate 1 SM","Sudeste","F002A1","Sabao ou detergente","12720","12679","8627447.0","99.6388"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","2217","2210","914132.0","99.6467"
"11","Novembro","1 a 2 SM","Norte","F002A1","Sabao ou detergente","5359","5338","2008117.0","99.7238"
"11","Novembro","Ate 1 SM","Norte","F002A1","Sabao ou detergente","6984","6959","2879329.0","99.7181"
"11","Novembro","2 a 4 SM","Nordeste","F002A1","Sabao ou detergente","3678","3677","2065079.0","99.9825"
"11","Novembro","1 a 2 SM","Nordeste","F002A1","Sabao ou detergente","9031","9020","5053766.0","99.8347"
"10","Outubro","1 a 2 SM","Nordeste","F002A1","Sabao ou detergente","8932","8921","5080277.0","99.9018"
"11","Novembro","Ate 1 SM","Nordeste","F002A1","Sabao ou detergente","19480","19428","9956472.0","99.6588"
"10","Outubro","Acima 4 SM","Nordeste","F002A1","Sabao ou detergente","1937","1936","1118924.0","99.9646"
"10","Outubro","2 a 4 SM","Nordeste","F002A1","Sabao ou detergente","3634","3631","2078893.0","99.9129"
"11","Novembro","Acima 4 SM","Nordeste","F002A1","Sabao ou detergente","2033","2033","1169619.0","100.0"
"11","Novembro","Acima 4 SM","Norte","F002A1","Sabao ou detergente","1334","1329","428741.0","99.7998"
"11","Novembro","Sem informacao","Nordeste","F002A1","Sabao ou detergente","82109","81748","3.8862219E7","99.5333"
"10","Outubro","2 a 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","3533","3503","1441652.0","99.2878"
"10","Outubro","Ate 1 SM","Sul","F002A5","Agua sanitaria ou desinfetante","5536","5457","2392000.0","98.7619"
"10","Outubro","Acima 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","2204","2185","917807.0","99.0995"
"10","Outubro","Sem informacao","Sul","F002A5","Agua sanitaria ou desinfetante","36753","36333","1.6513204E7","99.0564"
"10","Outubro","Acima 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","3437","3428","1615560.0","99.8486"
"10","Outubro","1 a 2 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","8932","8862","5051009.0","99.4253"
"10","Outubro","Acima 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","1937","1933","1117122.0","99.8036"
"10","Outubro","2 a 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","3634","3618","2072360.0","99.7341"
"10","Outubro","Ate 1 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","19236","19044","9718284.0","99.2175"
"10","Outubro","Sem informacao","Nordeste","F002A5","Agua sanitaria ou desinfetante","82005","80882","3.8704628E7","98.7655"
"11","Novembro","1 a 2 SM","Norte","F002A5","Agua sanitaria ou desinfetante","5359","5302","1997485.0","99.2364"
"11","Novembro","Ate 1 SM","Norte","F002A5","Agua sanitaria ou desinfetante","6984","6886","2850089.0","98.7832"
"11","Novembro","2 a 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","3678","3660","2056049.0","99.6765"
"11","Novembro","1 a 2 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","9031","8962","5032104.0","99.4476"
"11","Novembro","Ate 1 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","19480","19317","9924695.0","99.3755"
"11","Novembro","Acima 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","2033","2029","1167432.0","99.8509"
"10","Outubro","Ate 1 SM","Centro-Oeste","F002A3","Mascara","4461","4448","1868048.0","99.6216"
"10","Outubro","2 a 4 SM","Centro-Oeste","F002A3","Mascara","3533","3525","1450700.0","99.798"
"10","Outubro","Ate 1 SM","Sul","F002A3","Mascara","5536","5505","2411829.0","99.5382"
"11","Novembro","2 a 4 SM","Sul","F002A3","Mascara","6811","6791","3238773.0","99.8284"
"10","Outubro","Acima 4 SM","Centro-Oeste","F002A3","Mascara","2204","2191","921096.0","99.4547"
"11","Novembro","Sem informacao","Sul","F002A3","Mascara","36399","36273","1.6541702E7","99.6831"
"11","Novembro","Ate 1 SM","Sul","F002A3","Mascara","5496","5474","2425905.0","99.6857"
"11","Novembro","1 a 2 SM","Sul","F002A3","Mascara","13025","12988","6296458.0","99.6715"
"10","Outubro","Sem informacao","Sul","F002A3","Mascara","36753","36618","1.6629801E7","99.682"
"10","Outubro","Acima 4 SM","Sul","F002A3","Mascara","3437","3434","1617649.0","99.952"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A3","Mascara","4426","4404","1822141.0","99.5812"
"9","Setembro","Sem informacao","Centro-Oeste","F002A3","Mascara","23649","23520","9276495.0","99.5619"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A3","Mascara","3614","3606","1451964.0","99.7901"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A3","Mascara","2228","2222","932016.0","99.8346"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A3","Mascara","7096","7077","2865919.0","99.7956"
"11","Novembro","Sem informacao","Centro-Oeste","F002A3","Mascara","23363","23258","9184295.0","99.6029"
"9","Setembro","Ate 1 SM","Sudeste","F002A4","Luvas descartaveis","12540","4724","3494885.0","42.1896"
"9","Setembro","1 a 2 SM","Sudeste","F002A4","Luvas descartaveis","18564","8148","7625566.0","47.6121"
"11","Novembro","1 a 2 SM","Sudeste","F002A4","Luvas descartaveis","18520","7758","7524358.0","46.0662"
"10","Outubro","2 a 4 SM","Sul","F002A4","Luvas descartaveis","6799","3781","1748554.0","54.392"
"10","Outubro","1 a 2 SM","Sul","F002A4","Luvas descartaveis","13039","6692","3086856.0","49.5649"
"10","Outubro","Ate 1 SM","Sul","F002A4","Luvas descartaveis","5536","2588","1098276.0","45.4728"
"10","Outubro","Sem informacao","Sul","F002A4","Luvas descartaveis","36753","17694","7764146.0","46.7113"
"10","Outubro","Acima 4 SM","Sul","F002A4","Luvas descartaveis","3437","2112","971157.0","60.1086"
"10","Outubro","2 a 4 SM","Nordeste","F002A2","Alcool 70","3634","3596","2057896.0","98.9317"
"10","Outubro","Ate 1 SM","Nordeste","F002A2","Alcool 70","19236","18412","9417457.0","96.1598"
"10","Outubro","Sem informacao","Norte","F002A2","Alcool 70","31315","29287","1.1551219E7","94.1957"
"10","Outubro","Ate 1 SM","Norte","F002A2","Alcool 70","6929","6535","2724167.0","95.1682"
"10","Outubro","Sem informacao","Nordeste","F002A2","Alcool 70","82005","77528","3.7126716E7","94.7763"
"9","Setembro","Sem informacao","Sul","F002A2","Alcool 70","37570","36464","1.6310528E7","97.1271"
"9","Setembro","2 a 4 SM","Sul","F002A2","Alcool 70","6934","6869","3216358.0","99.1532"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A2","Alcool 70","4426","4295","1771393.0","96.8376"
"9","Setembro","1 a 2 SM","Sul","F002A2","Alcool 70","13125","12857","6023301.0","97.8321"
"9","Setembro","Sem informacao","Centro-Oeste","F002A2","Alcool 70","23649","22826","8987487.0","96.6855"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A2","Alcool 70","3614","3565","1435583.0","98.7003"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A2","Alcool 70","2228","2215","929179.0","99.5307"
"9","Setembro","Ate 1 SM","Sul","F002A2","Alcool 70","5487","5278","2267591.0","96.454"
"9","Setembro","Acima 4 SM","Sul","F002A2","Alcool 70","3505","3481","1613747.0","99.4656"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A2","Alcool 70","7096","6886","2785375.0","97.1368"
"10","Outubro","2 a 4 SM","Sul","F002A2","Alcool 70","6799","6723","3200205.0","99.1436"
"11","Novembro","Sem informacao","Norte","F002A1","Sabao ou detergente","31440","31283","1.2223433E7","99.6368"
"10","Outubro","Ate 1 SM","Nordeste","F002A1","Sabao ou detergente","19236","19181","9778227.0","99.7841"
"10","Outubro","Sem informacao","Nordeste","F002A1","Sabao ou detergente","82005","81594","3.9028471E7","99.541"
"11","Novembro","2 a 4 SM","Norte","F002A1","Sabao ou detergente","2378","2376","823706.0","99.9661"
"9","Setembro","Sem informacao","Sul","F002A1","Sabao ou detergente","37570","37519","1.6783824E7","99.8689"
"9","Setembro","2 a 4 SM","Sul","F002A1","Sabao ou detergente","6934","6930","3244188.0","99.9588"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A1","Sabao ou detergente","4426","4412","1824268.0","99.7427"
"9","Setembro","1 a 2 SM","Sul","F002A1","Sabao ou detergente","13125","13108","6153005.0","99.8676"
"9","Setembro","Sem informacao","Centro-Oeste","F002A1","Sabao ou detergente","23649","23572","9299473.0","99.7387"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","3614","3608","1453688.0","99.8528"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","2228","2224","932731.0","99.9112"
"9","Setembro","Acima 4 SM","Sul","F002A1","Sabao ou detergente","3505","3503","1621962.0","99.9425"
"9","Setembro","Ate 1 SM","Sul","F002A1","Sabao ou detergente","5487","5478","2348767.0","99.8395"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A1","Sabao ou detergente","7096","7086","2869283.0","99.9128"
"10","Outubro","2 a 4 SM","Norte","F002A1","Sabao ou detergente","2339","2338","817959.0","99.9887"
"9","Setembro","2 a 4 SM","Norte","F002A1","Sabao ou detergente","2321","2318","817058.0","99.8916"
"10","Outubro","Acima 4 SM","Norte","F002A1","Sabao ou detergente","1310","1303","439945.0","99.4398"
"9","Setembro","Sem informacao","Norte","F002A1","Sabao ou detergente","31843","31682","1.2246931E7","99.6176"
"9","Setembro","Acima 4 SM","Norte","F002A1","Sabao ou detergente","1314","1310","414832.0","99.8068"
"10","Outubro","1 a 2 SM","Norte","F002A1","Sabao ou detergente","5279","5261","1994112.0","99.7472"
"9","Setembro","Ate 1 SM","Norte","F002A1","Sabao ou detergente","7064","7035","2863347.0","99.5832"
"9","Setembro","1 a 2 SM","Norte","F002A1","Sabao ou detergente","5163","5141","1976776.0","99.7769"
"10","Outubro","Sem informacao","Norte","F002A1","Sabao ou detergente","31315","31159","1.2223976E7","99.556"
"10","Outubro","Ate 1 SM","Norte","F002A1","Sabao ou detergente","6929","6904","2855852.0","99.6902"
"10","Outubro","2 a 4 SM","Sul","F002A1","Sabao ou detergente","6799","6789","3228278.0","99.9338"
"10","Outubro","1 a 2 SM","Sul","F002A1","Sabao ou detergente","13039","13014","6241210.0","99.883"
"10","Outubro","Ate 1 SM","Sul","F002A1","Sabao ou detergente","5536","5523","2420021.0","99.8763"
"10","Outubro","Sem informacao","Sul","F002A1","Sabao ou detergente","36753","36675","1.6653798E7","99.8235"
"10","Outubro","Acima 4 SM","Sul","F002A1","Sabao ou detergente","3437","3435","1618018.0","99.9748"
"9","Setembro","Sem informacao","Nordeste","F002A1","Sabao ou detergente","84770","84318","3.9314166E7","99.483"
"9","Setembro","Acima 4 SM","Nordeste","F002A1","Sabao ou detergente","2060","2060","1160826.0","100.0"
"9","Setembro","2 a 4 SM","Nordeste","F002A1","Sabao ou detergente","3725","3722","2066093.0","99.9542"
"11","Novembro","Acima 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","1334","1322","425891.0","99.1364"
"11","Novembro","Sem informacao","Nordeste","F002A5","Agua sanitaria ou desinfetante","82109","81110","3.8614602E7","98.9499"
"11","Novembro","Sem informacao","Norte","F002A5","Agua sanitaria ou desinfetante","31440","30910","1.2081304E7","98.5594"
"11","Novembro","2 a 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","2378","2359","819247.0","99.4249"
"11","Novembro","Sem informacao","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","23363","22974","9062609.0","98.3682"
"9","Setembro","Sem informacao","Sul","F002A5","Agua sanitaria ou desinfetante","37570","37124","1.6623072E7","98.9761"
"9","Setembro","2 a 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","6934","6887","3225610.0","99.5031"
"9","Setembro","1 a 2 SM","Sul","F002A5","Agua sanitaria ou desinfetante","13125","13015","6116816.0","99.3366"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","7172","7090","2879076.0","98.846"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","3649","3624","1474037.0","99.3002"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","4605","4524","1878506.0","98.1739"
"9","Setembro","Ate 1 SM","Sul","F002A5","Agua sanitaria ou desinfetante","5487","5398","2313696.0","98.3916"
"9","Setembro","Acima 4 SM","Sul","F002A5","Agua sanitaria ou desinfetante","3505","3492","1618081.0","99.7034"
