"v1013","mes_nome","faixa_renda","regiao","item_codigo","item_protecao","n_amostra","qtd_tem_item","pop_estimada_tem_item","pct_tem_item"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","2217","2200","909800.0","99.1745"
"9","Setembro","Sem informacao","Nordeste","F002A5","Agua sanitaria ou desinfetante","84770","83513","3.8909482E7","98.5432"
"9","Setembro","Acima 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","2060","2052","1157421.0","99.7643"
"9","Setembro","2 a 4 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","3725","3703","2056509.0","99.6587"
"9","Setembro","Ate 1 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","19354","19155","9498875.0","99.1573"
"9","Setembro","1 a 2 SM","Nordeste","F002A5","Agua sanitaria ou desinfetante","8915","8840","4907936.0","99.4084"
"11","Novembro","Sem informacao","Sudeste","F002A5","Agua sanitaria ou desinfetante","66742","65786","5.0891751E7","98.6756"
"10","Outubro","2 a 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","2339","2320","811765.0","99.4209"
"11","Novembro","2 a 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","8270","8227","7545797.0","99.4242"
"10","Outubro","Acima 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","1310","1297","438153.0","99.0348"
"11","Novembro","Acima 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","5085","5065","4853645.0","99.6199"
"11","Novembro","Ate 1 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","12754","12597","8601422.0","98.9071"
"10","Outubro","1 a 2 SM","Norte","F002A5","Agua sanitaria ou desinfetante","5279","5220","1981426.0","99.1705"
"11","Novembro","1 a 2 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","18520","18324","1.6247777E7","99.1902"
"10","Outubro","Sem informacao","Norte","F002A5","Agua sanitaria ou desinfetante","31315","30768","1.2077639E7","98.4196"
"10","Outubro","Ate 1 SM","Norte","F002A5","Agua sanitaria ou desinfetante","6929","6834","2828062.0","98.7488"
"10","Outubro","2 a 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","8265","8215","7556599.0","99.3562"
"10","Outubro","Acima 4 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","5120","5099","4847654.0","99.6011"
"10","Outubro","Sem informacao","Sudeste","F002A5","Agua sanitaria ou desinfetante","66930","65879","5.0923571E7","98.6309"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A3","Mascara","7172","7153","2902762.0","99.6555"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A3","Mascara","3649","3642","1482888.0","99.8078"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A3","Mascara","4605","4587","1906600.0","99.6314"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A3","Mascara","2217","2206","911671.0","99.3784"
"9","Setembro","Sem informacao","Nordeste","F002A3","Mascara","84770","84322","3.9326549E7","99.5154"
"9","Setembro","Acima 4 SM","Nordeste","F002A3","Mascara","2060","2059","1160368.0","99.9606"
"9","Setembro","2 a 4 SM","Nordeste","F002A3","Mascara","3725","3717","2064339.0","99.8694"
"9","Setembro","Ate 1 SM","Nordeste","F002A3","Mascara","19354","19277","9544887.0","99.5971"
"9","Setembro","1 a 2 SM","Nordeste","F002A3","Mascara","8915","8898","4940400.0","99.8326"
"9","Setembro","2 a 4 SM","Sudeste","F002A3","Mascara","8365","8338","7471138.0","99.7959"
"9","Setembro","Sem informacao","Sudeste","F002A3","Mascara","68403","68052","5.2082561E7","99.6551"
"9","Setembro","Acima 4 SM","Sudeste","F002A3","Mascara","5263","5248","4925639.0","99.7971"
"9","Setembro","Ate 1 SM","Sudeste","F002A3","Mascara","12540","12479","8281739.0","99.6706"
"9","Setembro","1 a 2 SM","Sudeste","F002A3","Mascara","18564","18493","1.6050773E7","99.7438"
"10","Outubro","2 a 4 SM","Sudeste","F002A3","Mascara","8265","8243","7606882.0","99.9224"
"10","Outubro","Acima 4 SM","Sudeste","F002A3","Mascara","5120","5109","4859910.0","99.8595"
"10","Outubro","Sem informacao","Sudeste","F002A3","Mascara","66930","66620","5.1542316E7","99.6849"
"10","Outubro","1 a 2 SM","Sudeste","F002A3","Mascara","18492","18426","1.6256601E7","99.7342"
"10","Outubro","Ate 1 SM","Sudeste","F002A3","Mascara","12720","12669","8630070.0","99.6656"
"10","Outubro","2 a 4 SM","Norte","F002A3","Mascara","2339","2330","815297.0","99.666"
"10","Outubro","Acima 4 SM","Norte","F002A3","Mascara","1310","1306","440716.0","99.6141"
"10","Outubro","1 a 2 SM","Norte","F002A3","Mascara","5279","5259","1990910.0","99.587"
"10","Outubro","Sem informacao","Norte","F002A3","Mascara","31315","31067","1.2188731E7","99.3238"
"10","Outubro","Ate 1 SM","Norte","F002A3","Mascara","6929","6867","2842767.0","99.2614"
"11","Novembro","1 a 2 SM","Norte","F002A3","Mascara","5359","5337","2005454.0","99.5916"
"11","Novembro","Ate 1 SM","Norte","F002A3","Mascara","6984","6916","2862105.0","99.1428"
"11","Novembro","2 a 4 SM","Nordeste","F002A3","Mascara","3678","3670","2061904.0","99.8287"
"11","Novembro","1 a 2 SM","Nordeste","F002A3","Mascara","9031","9003","5042878.0","99.6196"
"10","Outubro","1 a 2 SM","Nordeste","F002A3","Mascara","8932","8906","5069754.0","99.7238"
"11","Novembro","Ate 1 SM","Nordeste","F002A3","Mascara","19480","19394","9948411.0","99.5772"
"10","Outubro","Acima 4 SM","Nordeste","F002A3","Mascara","1937","1933","1117534.0","99.8404"
"10","Outubro","2 a 4 SM","Nordeste","F002A3","Mascara","3634","3624","2075492.0","99.7494"
"9","Setembro","Ate 1 SM","Nordeste","F002A1","Sabao ou detergente","19354","19295","9557834.0","99.7283"
"9","Setembro","1 a 2 SM","Nordeste","F002A1","Sabao ou detergente","8915","8903","4944254.0","99.9105"
"11","Novembro","Acima 4 SM","Sul","F002A1","Sabao ou detergente","3504","3503","1632744.0","99.9868"
"11","Novembro","2 a 4 SM","Sul","F002A1","Sabao ou detergente","6811","6803","3242346.0","99.9385"
"11","Novembro","Sem informacao","Sul","F002A1","Sabao ou detergente","36399","36330","1.6570204E7","99.8528"
"11","Novembro","Ate 1 SM","Sul","F002A1","Sabao ou detergente","5496","5484","2430591.0","99.8782"
"11","Novembro","1 a 2 SM","Sul","F002A1","Sabao ou detergente","13025","13007","6310174.0","99.8941"
"10","Outubro","1 a 2 SM","Centro-Oeste","F002A1","Sabao ou detergente","7085","7076","2919723.0","99.8602"
"10","Outubro","Sem informacao","Centro-Oeste","F002A1","Sabao ou detergente","23171","23098","9226525.0","99.6876"
"10","Outubro","Ate 1 SM","Centro-Oeste","F002A1","Sabao ou detergente","4461","4450","1870374.0","99.7456"
"10","Outubro","2 a 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","3533","3526","1451406.0","99.8465"
"10","Outubro","Acima 4 SM","Centro-Oeste","F002A1","Sabao ou detergente","2204","2194","922041.0","99.5567"
"11","Novembro","1 a 2 SM","Norte","F002A4","Luvas descartaveis","5359","1959","715422.0","35.6006"
"11","Novembro","Ate 1 SM","Norte","F002A4","Luvas descartaveis","6984","2120","848360.0","29.4349"
"11","Novembro","Acima 4 SM","Sul","F002A4","Luvas descartaveis","3504","2084","950356.0","58.3324"
"11","Novembro","Acima 4 SM","Norte","F002A4","Luvas descartaveis","1334","668","210893.0","49.1275"
"11","Novembro","2 a 4 SM","Sul","F002A4","Luvas descartaveis","6811","3694","1722919.0","53.284"
"11","Novembro","Sem informacao","Norte","F002A4","Luvas descartaveis","31440","8847","3320274.0","27.1352"
"11","Novembro","Sem informacao","Sul","F002A4","Luvas descartaveis","36399","17096","7545994.0","45.6217"
"11","Novembro","2 a 4 SM","Norte","F002A4","Luvas descartaveis","2378","1005","339143.0","41.1969"
"11","Novembro","Ate 1 SM","Sul","F002A4","Luvas descartaveis","5496","2513","1083167.0","44.5794"
"11","Novembro","1 a 2 SM","Sul","F002A4","Luvas descartaveis","13025","6530","3064455.0","48.649"
"9","Setembro","Sem informacao","Nordeste","F002A4","Luvas descartaveis","84770","23653","1.1405631E7","28.9418"
"9","Setembro","Acima 4 SM","Nordeste","F002A4","Luvas descartaveis","2060","1195","681569.0","58.7972"
"11","Novembro","2 a 4 SM","Nordeste","F002A4","Luvas descartaveis","3678","1648","923420.0","44.9239"
"11","Novembro","1 a 2 SM","Nordeste","F002A4","Luvas descartaveis","9031","3401","1909028.0","37.7813"
"9","Setembro","2 a 4 SM","Nordeste","F002A4","Luvas descartaveis","3725","1765","980769.0","47.5419"
"11","Novembro","Ate 1 SM","Nordeste","F002A4","Luvas descartaveis","19480","5782","3067373.0","30.7552"
"10","Outubro","2 a 4 SM","Sudeste","F002A2","Alcool 70","8265","8179","7536208.0","99.0151"
"10","Outubro","Acima 4 SM","Sudeste","F002A2","Alcool 70","5120","5098","4849402.0","99.6371"
"10","Outubro","1 a 2 SM","Sul","F002A2","Alcool 70","13039","12762","6110002.0","97.8324"
"10","Outubro","Sem informacao","Sudeste","F002A2","Alcool 70","66930","64783","5.0199789E7","97.1281"
"10","Outubro","1 a 2 SM","Sudeste","F002A2","Alcool 70","18492","18137","1.6017321E7","98.2845"
"10","Outubro","Ate 1 SM","Sul","F002A2","Alcool 70","5536","5314","2331389.0","96.2725"
"10","Outubro","Ate 1 SM","Sudeste","F002A2","Alcool 70","12720","12301","8374933.0","96.7532"
"10","Outubro","Sem informacao","Sul","F002A2","Alcool 70","36753","35689","1.6196713E7","97.1488"
"10","Outubro","Acima 4 SM","Sul","F002A2","Alcool 70","3437","3408","1609339.0","99.4588"
"11","Novembro","Acima 4 SM","Sul","F002A2","Alcool 70","3504","3482","1623870.0","99.4648"
"11","Novembro","2 a 4 SM","Sul","F002A2","Alcool 70","6811","6753","3220621.0","99.344"
"11","Novembro","Sem informacao","Sul","F002A2","Alcool 70","36399","35420","1.6151419E7","97.3783"
"11","Novembro","Ate 1 SM","Sul","F002A2","Alcool 70","5496","5314","2357524.0","96.9714"
"11","Novembro","1 a 2 SM","Sul","F002A2","Alcool 70","13025","12774","6189847.0","98.0534"
"9","Setembro","Sem informacao","Nordeste","F002A2","Alcool 70","84770","80306","3.7425746E7","94.8045"
"9","Setembro","Acima 4 SM","Nordeste","F002A2","Alcool 70","2060","2052","1155555.0","99.5459"
"9","Setembro","2 a 4 SM","Nordeste","F002A2","Alcool 70","3725","3692","2048013.0","99.1168"
"9","Setembro","Ate 1 SM","Nordeste","F002A2","Alcool 70","19354","18560","9202750.0","96.0717"
"9","Setembro","1 a 2 SM","Nordeste","F002A2","Alcool 70","8915","8697","4816538.0","97.3755"
"11","Novembro","2 a 4 SM","Nordeste","F002A2","Alcool 70","3678","3636","2044665.0","99.0356"
"11","Novembro","1 a 2 SM","Nordeste","F002A2","Alcool 70","9031","8798","4940395.0","97.6073"
"11","Novembro","Ate 1 SM","Nordeste","F002A2","Alcool 70","19480","18658","9613033.0","96.2527"
"11","Novembro","Acima 4 SM","Nordeste","F002A2","Alcool 70","2033","2021","1160833.0","99.4558"
"11","Novembro","Sem informacao","Nordeste","F002A2","Alcool 70","82109","77741","3.7148948E7","95.2114"
"11","Novembro","Sem informacao","Centro-Oeste","F002A2","Alcool 70","23363","22651","8955337.0","97.2669"
"10","Outubro","1 a 2 SM","Centro-Oeste","F002A2","Alcool 70","7085","6881","2838766.0","97.208"
"10","Outubro","Sem informacao","Centro-Oeste","F002A2","Alcool 70","23171","22352","8926454.0","96.683"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A2","Alcool 70","7172","7004","2849403.0","97.8992"
"10","Outubro","Ate 1 SM","Centro-Oeste","F002A2","Alcool 70","4461","4285","1801622.0","96.1562"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A2","Alcool 70","3649","3604","1468193.0","98.8736"
"10","Outubro","2 a 4 SM","Centro-Oeste","F002A2","Alcool 70","3533","3478","1431179.0","98.5619"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A2","Alcool 70","4605","4446","1843172.0","96.4349"
"10","Outubro","1 a 2 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","18492","18283","1.6145935E7","99.1576"
"10","Outubro","Ate 1 SM","Sudeste","F002A5","Agua sanitaria ou desinfetante","12720","12531","8522118.0","98.5211"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","4426","4331","1785455.0","97.661"
"9","Setembro","Sem informacao","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","23649","23205","9148041.0","98.2518"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","3614","3578","1440819.0","99.1409"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","2228","2212","928036.0","99.4083"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A5","Agua sanitaria ou desinfetante","7096","6999","2833578.0","98.7392"
"9","Setembro","2 a 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","2321","2308","814274.0","99.5942"
"9","Setembro","Sem informacao","Norte","F002A5","Agua sanitaria ou desinfetante","31843","31306","1.2100274E7","98.4795"
"9","Setembro","Acima 4 SM","Norte","F002A5","Agua sanitaria ou desinfetante","1314","1307","413205.0","99.4155"
"9","Setembro","Ate 1 SM","Norte","F002A5","Agua sanitaria ou desinfetante","7064","6960","2837066.0","98.7845"
"9","Setembro","1 a 2 SM","Norte","F002A5","Agua sanitaria ou desinfetante","5163","5103","1967597.0","99.3504"
"9","Setembro","Ate 1 SM","Nordeste","F002A4","Luvas descartaveis","19354","6073","3088841.0","32.2829"
"9","Setembro","1 a 2 SM","Nordeste","F002A4","Luvas descartaveis","8915","3529","1952935.0","39.5454"
"11","Novembro","Acima 4 SM","Nordeste","F002A4","Luvas descartaveis","2033","1131","641410.0","55.0412"
"11","Novembro","Sem informacao","Nordeste","F002A4","Luvas descartaveis","82109","21677","1.0789041E7","27.7033"
"10","Outubro","1 a 2 SM","Nordeste","F002A4","Luvas descartaveis","8932","3400","1925419.0","37.9844"
"10","Outubro","Acima 4 SM","Nordeste","F002A4","Luvas descartaveis","1937","1083","621856.0","55.7231"
"10","Outubro","2 a 4 SM","Nordeste","F002A4","Luvas descartaveis","3634","1619","925194.0","44.5828"
"10","Outubro","Ate 1 SM","Nordeste","F002A4","Luvas descartaveis","19236","5830","3080764.0","31.5046"
"10","Outubro","Sem informacao","Nordeste","F002A4","Luvas descartaveis","82005","21831","1.0945107E7","27.9902"
"9","Setembro","Sem informacao","Sul","F002A4","Luvas descartaveis","37570","18148","7913233.0","47.2959"
"9","Setembro","2 a 4 SM","Sul","F002A4","Luvas descartaveis","6934","3904","1780331.0","55.0682"
"9","Setembro","1 a 2 SM","Sul","F002A4","Luvas descartaveis","13125","6742","3074362.0","50.1685"
"10","Outubro","2 a 4 SM","Sudeste","F002A4","Luvas descartaveis","8265","4212","4088555.0","53.8876"
"10","Outubro","Acima 4 SM","Sudeste","F002A4","Luvas descartaveis","5120","3048","2914122.0","59.8904"
"10","Outubro","Sem informacao","Sudeste","F002A4","Luvas descartaveis","66930","26398","2.2502247E7","43.7233"
"10","Outubro","1 a 2 SM","Sudeste","F002A4","Luvas descartaveis","18492","7968","7583334.0","46.7144"
"9","Setembro","Ate 1 SM","Sul","F002A4","Luvas descartaveis","5487","2627","1114829.0","47.5796"
"9","Setembro","Acima 4 SM","Sul","F002A4","Luvas descartaveis","3505","2176","990555.0","61.2257"
"10","Outubro","Ate 1 SM","Sudeste","F002A4","Luvas descartaveis","12720","4723","3633340.0","42.0856"
"10","Outubro","1 a 2 SM","Centro-Oeste","F002A4","Luvas descartaveis","7085","2763","1150197.0","39.5257"
"10","Outubro","Sem informacao","Centro-Oeste","F002A4","Luvas descartaveis","23171","8097","3268447.0","35.5007"
"10","Outubro","Ate 1 SM","Centro-Oeste","F002A4","Luvas descartaveis","4461","1487","630730.0","33.6874"
"10","Outubro","2 a 4 SM","Centro-Oeste","F002A4","Luvas descartaveis","3533","1613","678353.0","46.8164"
"10","Outubro","Acima 4 SM","Centro-Oeste","F002A4","Luvas descartaveis","2204","1231","516473.0","55.8624"
"11","Novembro","Sem informacao","Centro-Oeste","F002A4","Luvas descartaveis","23363","7893","3165504.0","34.4348"
"11","Novembro","1 a 2 SM","Centro-Oeste","F002A4","Luvas descartaveis","7172","2705","1089095.0","37.5044"
"11","Novembro","2 a 4 SM","Centro-Oeste","F002A4","Luvas descartaveis","3649","1626","668036.0","45.0532"
"11","Novembro","Ate 1 SM","Centro-Oeste","F002A4","Luvas descartaveis","4605","1514","634197.0","33.1827"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A4","Luvas descartaveis","2217","1198","502707.0","54.856"
"9","Setembro","Ate 1 SM","Centro-Oeste","F002A4","Luvas descartaveis","4426","1571","649926.0","35.5664"
"9","Setembro","Sem informacao","Centro-Oeste","F002A4","Luvas descartaveis","23649","8675","3437237.0","37.0578"
"9","Setembro","2 a 4 SM","Centro-Oeste","F002A4","Luvas descartaveis","3614","1747","715497.0","49.3156"
"10","Outubro","Acima 4 SM","Centro-Oeste","F002A2","Alcool 70","2204","2183","917763.0","99.0947"
"11","Novembro","Acima 4 SM","Centro-Oeste","F002A2","Alcool 70","2217","2202","910328.0","99.232"
"9","Setembro","2 a 4 SM","Norte","F002A2","Alcool 70","2321","2288","807808.0","98.8452"
"9","Setembro","Sem informacao","Norte","F002A2","Alcool 70","31843","29842","1.1587822E7","94.324"
"9","Setembro","Acima 4 SM","Norte","F002A2","Alcool 70","1314","1303","411562.0","99.02"
"9","Setembro","Ate 1 SM","Norte","F002A2","Alcool 70","7064","6649","2725169.0","94.8042"
"9","Setembro","1 a 2 SM","Norte","F002A2","Alcool 70","5163","4957","1916778.0","96.7485"
"11","Novembro","1 a 2 SM","Norte","F002A2","Alcool 70","5359","5128","1938960.0","96.3075"
"11","Novembro","Ate 1 SM","Norte","F002A2","Alcool 70","6984","6550","2733048.0","94.7388"
"11","Novembro","Acima 4 SM","Norte","F002A2","Alcool 70","1334","1329","428813.0","99.8164"
"11","Novembro","Sem informacao","Norte","F002A2","Alcool 70","31440","29337","1.1538161E7","94.1492"
"11","Novembro","2 a 4 SM","Norte","F002A2","Alcool 70","2378","2327","807698.0","98.0233"
"11","Novembro","Acima 4 SM","Nordeste","F002A3","Mascara","2033","2030","1168183.0","99.8772"
"11","Novembro","Acima 4 SM","Norte","F002A3","Mascara","1334","1330","428681.0","99.7857"
"11","Novembro","Sem informacao","Nordeste","F002A3","Mascara","82109","81623","3.8832496E7","99.4551"
"11","Novembro","Sem informacao","Norte","F002A3","Mascara","31440","31174","1.2175516E7","99.2932"
"10","Outubro","Ate 1 SM","Nordeste","F002A3","Mascara","19236","19145","9756167.0","99.5595"
"10","Outubro","Sem informacao","Nordeste","F002A3","Mascara","82005","81496","3.8992876E7","99.4557"
"11","Novembro","2 a 4 SM","Norte","F002A3","Mascara","2378","2362","818543.0","99.3422"
"9","Setembro","2 a 4 SM","Norte","F002A3","Mascara","2321","2311","814948.0","99.6363"
"9","Setembro","Sem informacao","Norte","F002A3","Mascara","31843","31554","1.2197151E7","99.2115"
"9","Setembro","Acima 4 SM","Norte","F002A3","Mascara","1314","1310","413711.0","99.5371"
"9","Setembro","Ate 1 SM","Norte","F002A3","Mascara","7064","6994","2853218.0","99.2309"
"9","Setembro","1 a 2 SM","Norte","F002A3","Mascara","5163","5139","1974755.0","99.6749"
"9","Setembro","Acima 4 SM","Centro-Oeste","F002A4","Luvas descartaveis","2228","1285","546138.0","58.6445"
"9","Setembro","1 a 2 SM","Centro-Oeste","F002A4","Luvas descartaveis","7096","2838","1174530.0","41.0474"
"9","Setembro","2 a 4 SM","Norte","F002A4","Luvas descartaveis","2321","1061","379912.0","46.4992"
"9","Setembro","Sem informacao","Norte","F002A4","Luvas descartaveis","31843","9480","3585888.0","29.2441"
"9","Setembro","Acima 4 SM","Norte","F002A4","Luvas descartaveis","1314","710","224340.0","54.0856"
"9","Setembro","Ate 1 SM","Norte","F002A4","Luvas descartaveis","7064","2236","902139.0","31.4282"
"9","Setembro","1 a 2 SM","Norte","F002A4","Luvas descartaveis","5163","2025","752259.0","38.0589"
"10","Outubro","2 a 4 SM","Norte","F002A4","Luvas descartaveis","2339","995","339812.0","41.6785"
"10","Outubro","Acima 4 SM","Norte","F002A4","Luvas descartaveis","1310","698","229206.0","51.8449"
"10","Outubro","1 a 2 SM","Norte","F002A4","Luvas descartaveis","5279","2004","752579.0","37.7398"
"10","Outubro","Sem informacao","Norte","F002A4","Luvas descartaveis","31315","8893","3403975.0","27.8117"
"10","Outubro","Ate 1 SM","Norte","F002A4","Luvas descartaveis","6929","2082","838759.0","29.3381"
